Position,Team,Played,Won,Drawn,Loss,Goals_For,Goals_Against,Points
1,도르트문트,17,13,3,1,44,18,42
2,바이에른 뮌헨,17,11,3,3,36,18,36
3,묀헨글라트바흐,17,10,3,4,36,18,33
4,RB 라이프치히,17,9,4,4,31,17,31
5,볼프스부르크,17,8,4,5,27,22,28
6,아인트라흐트 프랑크푸르트,17,8,3,6,34,23,27
7,호펜하임,17,6,7,4,32,23,25
8,헤르타 베를린,17,6,6,5,26,27,24
9,레버쿠젠,17,7,3,7,26,29,24
10,베르더 브레멘,17,6,4,7,28,29,22
11,프라이부르크,17,5,6,6,21,25,21
12,마인츠,17,5,6,6,17,22,21
13,샬케,17,5,3,9,20,24,18
14,뒤셸도르프,17,5,3,9,19,33,18
15,아우크스부르크,17,3,6,8,25,29,15
16,VfB 슈투트가르트,17,4,2,11,12,35,14
17,하노버,17,2,5,10,17,35,11
18,뉘른베르크,17,2,5,10,14,38,11
