Position,Team,Played,Won,Drawn,Loss,Goals_For,Goals_Against,Points
1,바르셀로나,14,8,4,2,37,19,28
2,세비야,14,8,3,3,26,15,27
3,AT마드리드,14,6,7,1,18,10,25
4,알라베스,14,7,3,4,18,14,24
5,레알마드리드,14,7,2,5,22,19,23
6,지로나,14,5,6,3,17,16,21
7,에스파뇰,14,6,3,5,17,16,21
8,헤타페,14,5,5,4,15,11,20
9,레알소시에다드,14,5,4,5,17,16,19
10,베티스,14,5,4,5,14,17,19
11,레반테,13,5,3,5,20,21,18
12,에이바르,14,5,3,6,15,19,18
13,셀타비고,14,4,5,5,25,22,17
14,발렌시아,14,3,8,3,11,11,17
15,바야돌리드,14,4,5,5,11,14,17
16,레가네스,14,4,4,6,14,18,16
17,비야레알,14,3,5,6,13,16,14
18,아틀레틱 빌바오,13,1,8,4,14,20,11
19,라요 바예카노,14,2,4,8,15,28,10
20,우에스카,14,1,4,9,12,29,7
