Position,Team,Played,Won,Drawn,Loss,Goals_For,Goals_Against,Points
1,리버풀,21,17,3,1,49,10,54
2,맨체스터 시티,21,16,2,3,56,17,50
3,토튼햄,21,16,0,5,46,21,48
4,첼시,21,13,5,3,38,16,44
5,아스날,21,12,5,4,46,31,41
6,맨체스터 유나이티드,21,11,5,5,43,32,38
7,레스터,21,9,4,8,25,23,31
8,왓포드,21,8,5,8,30,31,29
9,울버햄튼,21,8,5,8,23,25,29
10,웨스트햄,21,8,4,9,29,32,28
11,에버튼,21,7,6,8,31,31,27
12,본머스,21,8,3,10,31,40,27
13,브라이튼,21,7,5,9,24,29,26
14,크리스탈팰리스,21,6,4,11,19,26,22
15,뉴캐슬 Utd,21,4,6,11,15,29,18
16,번리,21,5,3,13,21,42,18
17,카디프,21,5,3,13,19,41,18
18,사우샘프턴,21,3,7,11,21,38,16
19,풀햄,21,3,5,13,19,47,14
20,허더스필드,21,2,4,15,13,37,10
