Position,Team,Played,Won,Drawn,Loss,Goals_For,Goals_Against,Points
1,유벤투스,13,12,1,0,28,8,37
2,나폴리,13,9,2,2,26,13,29
3,인터밀란,13,9,1,3,25,10,28
4,라치오,13,7,2,4,19,15,23
5,AC 밀란,13,6,4,3,22,17,22
6,파르마,13,6,2,5,14,16,20
7,AS 로마,13,5,4,4,22,16,19
8,사수올로,13,5,4,4,21,19,19
9,아탈란타,13,5,3,5,25,17,18
10,피오렌티나,13,4,6,3,18,10,18
11,토리노,12,4,5,3,17,15,17
12,삼프도리아,13,4,4,5,17,16,16
13,제노아,13,4,3,6,18,27,15
14,칼리아리,12,3,5,4,12,16,14
15,스팔,13,4,1,8,11,21,13
16,우디네세,13,3,3,7,12,18,12
17,엠폴리,13,3,3,7,15,23,12
18,볼로냐,13,2,5,6,11,18,11
19,프로시노네,13,1,4,8,10,28,7
20,키에보,13,0,4,9,10,30,1
