Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team
17,2018-12-24,02:00:00,호펜하임,1,1,마인츠
17,2018-12-23,23:30:00,아우크스부르크,2,3,볼프스부르크
17,2018-12-23,02:30:00,아인트라흐트 프랑크푸르트,0,3,바이에른 뮌헨
17,2018-12-22,23:30:00,뉘른베르크,0,1,프라이부르크
17,2018-12-22,23:30:00,레버쿠젠,3,1,헤르타 베를린
17,2018-12-22,23:30:00,하노버,0,1,뒤셸도르프
17,2018-12-22,23:30:00,RB 라이프치히,3,2,베르더 브레멘
17,2018-12-22,23:30:00,VfB 슈투트가르트,1,3,샬케
17,2018-12-22,04:30:00,도르트문트,2,1,묀헨글라트바흐
16,2018-12-20,04:30:00,마인츠,2,2,아인트라흐트 프랑크푸르트
16,2018-12-20,04:30:00,바이에른 뮌헨,1,0,RB 라이프치히
16,2018-12-20,04:30:00,베르더 브레멘,1,1,호펜하임
16,2018-12-20,04:30:00,프라이부르크,1,1,하노버
16,2018-12-20,02:30:00,샬케,1,2,레버쿠젠
16,2018-12-19,04:30:00,뒤셸도르프,2,1,도르트문트
16,2018-12-19,04:30:00,볼프스부르크,2,0,VfB 슈투트가르트
16,2018-12-19,04:30:00,헤르타 베를린,2,2,아우크스부르크
16,2018-12-19,02:30:00,묀헨글라트바흐,2,0,뉘른베르크
15,2018-12-17,02:00:00,아인트라흐트 프랑크푸르트,2,1,레버쿠젠
15,2018-12-16,23:30:00,RB 라이프치히,4,1,마인츠
15,2018-12-16,02:30:00,도르트문트,2,1,베르더 브레멘
15,2018-12-15,23:30:00,뒤셸도르프,2,0,프라이부르크
15,2018-12-15,23:30:00,아우크스부르크,1,1,샬케
15,2018-12-15,23:30:00,하노버,0,4,바이에른 뮌헨
15,2018-12-15,23:30:00,호펜하임,0,0,묀헨글라트바흐
15,2018-12-15,23:30:00,VfB 슈투트가르트,2,1,헤르타 베를린
15,2018-12-15,04:30:00,뉘른베르크,0,2,볼프스부르크
14,2018-12-10,02:00:00,묀헨글라트바흐,3,0,VfB 슈투트가르트
14,2018-12-09,23:30:00,마인츠,1,1,하노버
14,2018-12-09,02:30:00,헤르타 베를린,1,0,아인트라흐트 프랑크푸르트
14,2018-12-08,23:30:00,레버쿠젠,1,0,아우크스부르크
14,2018-12-08,23:30:00,바이에른 뮌헨,3,0,뉘른베르크
14,2018-12-08,23:30:00,볼프스부르크,2,2,호펜하임
14,2018-12-08,23:30:00,샬케,1,2,도르트문트
14,2018-12-08,23:30:00,프라이부르크,3,0,RB 라이프치히
14,2018-12-08,04:30:00,베르더 브레멘,3,1,뒤셸도르프
13,2018-12-04,04:30:00,뉘른베르크,1,1,레버쿠젠
13,2018-12-03,02:00:00,아인트라흐트 프랑크푸르트,1,2,볼프스부르크
13,2018-12-02,23:30:00,RB 라이프치히,2,0,묀헨글라트바흐
13,2018-12-02,02:30:00,호펜하임,1,1,샬케
13,2018-12-01,23:30:00,도르트문트,2,0,프라이부르크
13,2018-12-01,23:30:00,베르더 브레멘,1,2,바이에른 뮌헨
13,2018-12-01,23:30:00,하노버,0,2,헤르타 베를린
13,2018-12-01,23:30:00,VfB 슈투트가르트,1,0,아우크스부르크
13,2018-12-01,04:30:00,뒤셸도르프,0,1,마인츠
12,2018-11-26,02:00:00,묀헨글라트바흐,4,1,하노버
12,2018-11-25,23:30:00,프라이부르크,1,1,베르더 브레멘
12,2018-11-25,02:30:00,샬케,5,2,뉘른베르크
12,2018-11-24,23:30:00,마인츠,1,2,도르트문트
12,2018-11-24,23:30:00,바이에른 뮌헨,3,3,뒤셸도르프
12,2018-11-24,23:30:00,볼프스부르크,1,0,RB 라이프치히
12,2018-11-24,23:30:00,아우크스부르크,1,3,아인트라흐트 프랑크푸르트
12,2018-11-24,23:30:00,헤르타 베를린,3,3,호펜하임
12,2018-11-24,04:30:00,레버쿠젠,2,0,VfB 슈투트가르트
11,2018-11-12,02:00:00,아인트라흐트 프랑크푸르트,3,0,샬케
11,2018-11-11,23:30:00,RB 라이프치히,3,0,레버쿠젠
11,2018-11-11,02:30:00,도르트문트,3,2,바이에른 뮌헨
11,2018-11-10,23:30:00,뉘른베르크,0,2,VfB 슈투트가르트
11,2018-11-10,23:30:00,뒤셸도르프,4,1,헤르타 베를린
11,2018-11-10,23:30:00,베르더 브레멘,1,3,묀헨글라트바흐
11,2018-11-10,23:30:00,프라이부르크,1,3,마인츠
11,2018-11-10,23:30:00,호펜하임,2,1,아우크스부르크
11,2018-11-10,04:30:00,하노버,2,1,볼프스부르크
10,2018-11-05,02:00:00,마인츠,2,1,베르더 브레멘
10,2018-11-04,23:30:00,묀헨글라트바흐,3,0,뒤셸도르프
10,2018-11-04,02:30:00,헤르타 베를린,0,3,RB 라이프치히
10,2018-11-03,23:30:00,레버쿠젠,1,4,호펜하임
10,2018-11-03,23:30:00,바이에른 뮌헨,1,1,프라이부르크
10,2018-11-03,23:30:00,볼프스부르크,0,1,도르트문트
10,2018-11-03,23:30:00,샬케,3,1,하노버
10,2018-11-03,23:30:00,아우크스부르크,2,2,뉘른베르크
10,2018-11-03,04:30:00,VfB 슈투트가르트,0,3,아인트라흐트 프랑크푸르트
9,2018-10-29,02:00:00,베르더 브레멘,2,6,레버쿠젠
9,2018-10-28,23:30:00,RB 라이프치히,0,0,샬케
9,2018-10-28,21:30:00,뉘른베르크,1,1,아인트라흐트 프랑크푸르트
9,2018-10-28,01:30:00,호펜하임,4,0,VfB 슈투트가르트
9,2018-10-27,22:30:00,도르트문트,2,2,헤르타 베를린
9,2018-10-27,22:30:00,뒤셸도르프,0,3,볼프스부르크
9,2018-10-27,22:30:00,마인츠,1,2,바이에른 뮌헨
9,2018-10-27,22:30:00,하노버,1,2,아우크스부르크
9,2018-10-27,03:30:00,프라이부르크,3,1,묀헨글라트바흐
8,2018-10-22,01:00:00,묀헨글라트바흐,4,0,마인츠
8,2018-10-21,22:30:00,헤르타 베를린,1,1,프라이부르크
8,2018-10-21,01:30:00,샬케,0,2,베르더 브레멘
8,2018-10-20,22:30:00,뉘른베르크,1,3,호펜하임
8,2018-10-20,22:30:00,레버쿠젠,2,2,하노버
8,2018-10-20,22:30:00,볼프스부르크,1,3,바이에른 뮌헨
8,2018-10-20,22:30:00,아우크스부르크,0,0,RB 라이프치히
8,2018-10-20,22:30:00,VfB 슈투트가르트,0,4,도르트문트
8,2018-10-20,03:30:00,아인트라흐트 프랑크푸르트,7,1,뒤셸도르프
7,2018-10-08,01:00:00,RB 라이프치히,6,0,뉘른베르크
7,2018-10-07,22:30:00,호펜하임,1,2,아인트라흐트 프랑크푸르트
7,2018-10-07,20:30:00,프라이부르크,0,0,레버쿠젠
7,2018-10-07,01:30:00,바이에른 뮌헨,0,3,묀헨글라트바흐
7,2018-10-06,22:30:00,도르트문트,4,3,아우크스부르크
7,2018-10-06,22:30:00,뒤셸도르프,0,2,샬케
7,2018-10-06,22:30:00,마인츠,0,0,헤르타 베를린
7,2018-10-06,22:30:00,하노버,3,1,VfB 슈투트가르트
7,2018-10-06,03:30:00,베르더 브레멘,2,0,볼프스부르크
6,2018-10-01,01:00:00,아우크스부르크,4,1,프라이부르크
6,2018-09-30,22:30:00,아인트라흐트 프랑크푸르트,4,1,하노버
6,2018-09-30,01:30:00,레버쿠젠,2,4,도르트문트
6,2018-09-29,22:30:00,뉘른베르크,3,0,뒤셸도르프
6,2018-09-29,22:30:00,볼프스부르크,2,2,묀헨글라트바흐
6,2018-09-29,22:30:00,샬케,1,0,마인츠
6,2018-09-29,22:30:00,호펜하임,1,2,RB 라이프치히
6,2018-09-29,22:30:00,VfB 슈투트가르트,2,1,베르더 브레멘
6,2018-09-29,03:30:00,헤르타 베를린,2,0,바이에른 뮌헨
5,2018-09-27,03:30:00,도르트문트,7,0,뉘른베르크
5,2018-09-27,03:30:00,마인츠,0,0,볼프스부르크
5,2018-09-27,03:30:00,묀헨글라트바흐,3,1,아인트라흐트 프랑크푸르트
5,2018-09-27,03:30:00,RB 라이프치히,2,0,VfB 슈투트가르트
5,2018-09-27,01:30:00,뒤셸도르프,1,2,레버쿠젠
5,2018-09-26,03:30:00,바이에른 뮌헨,1,1,아우크스부르크
5,2018-09-26,03:30:00,프라이부르크,1,0,샬케
5,2018-09-26,03:30:00,하노버,1,3,호펜하임
5,2018-09-26,01:30:00,베르더 브레멘,3,1,헤르타 베를린
4,2018-09-24,01:00:00,아인트라흐트 프랑크푸르트,1,1,RB 라이프치히
4,2018-09-23,22:30:00,레버쿠젠,1,0,마인츠
4,2018-09-23,01:30:00,샬케,0,2,바이에른 뮌헨
4,2018-09-22,22:30:00,뉘른베르크,2,0,하노버
4,2018-09-22,22:30:00,볼프스부르크,1,3,프라이부르크
4,2018-09-22,22:30:00,아우크스부르크,2,3,베르더 브레멘
4,2018-09-22,22:30:00,헤르타 베를린,4,2,묀헨글라트바흐
4,2018-09-22,22:30:00,호펜하임,1,1,도르트문트
4,2018-09-22,03:30:00,VfB 슈투트가르트,0,0,뒤셸도르프
3,2018-09-17,01:00:00,프라이부르크,3,3,VfB 슈투트가르트
3,2018-09-16,22:30:00,베르더 브레멘,1,1,뉘른베르크
3,2018-09-16,01:30:00,묀헨글라트바흐,2,1,샬케
3,2018-09-15,22:30:00,뒤셸도르프,2,1,호펜하임
3,2018-09-15,22:30:00,마인츠,2,1,아우크스부르크
3,2018-09-15,22:30:00,바이에른 뮌헨,3,1,레버쿠젠
3,2018-09-15,22:30:00,볼프스부르크,2,2,헤르타 베를린
3,2018-09-15,22:30:00,RB 라이프치히,3,2,하노버
3,2018-09-15,03:30:00,도르트문트,3,1,아인트라흐트 프랑크푸르트
2,2018-09-03,01:00:00,샬케,0,2,헤르타 베를린
2,2018-09-02,22:30:00,RB 라이프치히,1,1,뒤셸도르프
2,2018-09-02,01:30:00,VfB 슈투트가르트,0,3,바이에른 뮌헨
2,2018-09-01,22:30:00,뉘른베르크,1,1,마인츠
2,2018-09-01,22:30:00,레버쿠젠,1,3,볼프스부르크
2,2018-09-01,22:30:00,아우크스부르크,1,1,묀헨글라트바흐
2,2018-09-01,22:30:00,아인트라흐트 프랑크푸르트,1,2,베르더 브레멘
2,2018-09-01,22:30:00,호펜하임,3,1,프라이부르크
2,2018-09-01,03:30:00,하노버,0,0,도르트문트
1,2018-08-27,01:00:00,도르트문트,4,1,RB 라이프치히
1,2018-08-26,22:30:00,마인츠,1,0,VfB 슈투트가르트
1,2018-08-26,01:30:00,묀헨글라트바흐,2,0,레버쿠젠
1,2018-08-25,22:30:00,뒤셸도르프,1,2,아우크스부르크
1,2018-08-25,22:30:00,베르더 브레멘,1,1,하노버
1,2018-08-25,22:30:00,볼프스부르크,2,1,샬케
1,2018-08-25,22:30:00,프라이부르크,0,2,아인트라흐트 프랑크푸르트
1,2018-08-25,22:30:00,헤르타 베를린,1,0,뉘른베르크
1,2018-08-25,03:30:00,바이에른 뮌헨,3,1,호펜하임
