Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team
18,2018-01-08,05:00:00,셀타비고,1,2,아틀레틱 빌바오
18,2018-01-07,04:45:00,헤타페,1,2,바르셀로나
18,2018-01-07,02:30:00,레알마드리드,0,2,레알소시에다드
18,2018-01-07,00:15:00,세비야,1,1,AT마드리드
18,2018-01-06,20:00:00,에이바르,0,0,비야레알
18,2018-01-06,04:45:00,우에스카,2,1,베티스
18,2018-01-06,00:15:00,알라베스,2,1,발렌시아
18,2018-01-05,21:00:00,바야돌리드,0,1,라요 바예카노
18,2018-01-05,05:00:00,에스파뇰,1,0,레가네스
18,2018-01-05,03:00:00,레반테,2,2,지로나
17,2018-01-04,05:30:00,비야레알,2,2,레알마드리드
17,2018-12-24,02:30:00,라요 바예카노,2,1,레반테
17,2018-12-24,00:15:00,레가네스,1,1,세비야
17,2018-12-23,20:00:00,발렌시아,2,1,우에스카
17,2018-12-23,04:45:00,아틀레틱 빌바오,1,1,바야돌리드
17,2018-12-23,02:30:00,바르셀로나,2,0,셀타비고
17,2018-12-23,00:15:00,AT마드리드,1,0,에스파뇰
17,2018-12-22,21:00:00,베티스,1,1,에이바르
17,2018-12-22,05:00:00,레알소시에다드,0,1,알라베스
17,2018-12-22,03:30:00,지로나,1,1,헤타페
16,2018-12-18,05:00:00,알라베스,0,0,아틀레틱 빌바오
16,2018-12-17,04:45:00,레반테,0,5,바르셀로나
16,2018-12-17,02:30:00,우에스카,2,2,비야레알
16,2018-12-17,00:15:00,에스파뇰,1,3,베티스
16,2018-12-16,20:00:00,세비야,2,0,지로나
16,2018-12-16,04:45:00,에이바르,1,1,발렌시아
16,2018-12-16,02:30:00,레알마드리드,1,0,라요 바예카노
16,2018-12-16,00:15:00,바야돌리드,2,3,AT마드리드
16,2018-12-15,21:00:00,헤타페,1,0,레알소시에다드
16,2018-12-15,05:00:00,셀타비고,0,0,레가네스
15,2018-12-11,05:00:00,아틀레틱 빌바오,1,0,지로나
15,2018-12-10,04:45:00,베티스,2,0,라요 바예카노
15,2018-12-10,02:30:00,레알소시에다드,1,2,바야돌리드
15,2018-12-10,00:15:00,우에스카,0,1,레알마드리드
15,2018-12-09,20:00:00,에이바르,4,4,레반테
15,2018-12-09,04:45:00,에스파뇰,0,4,바르셀로나
15,2018-12-09,02:30:00,비야레알,2,3,셀타비고
15,2018-12-09,00:15:00,발렌시아,1,1,세비야
15,2018-12-08,21:00:00,AT마드리드,3,0,알라베스
15,2018-12-08,05:00:00,레가네스,1,1,헤타페
14,2018-12-04,05:00:00,레반테,3,0,아틀레틱 빌바오
14,2018-12-03,04:45:00,알라베스,1,1,세비야
14,2018-12-03,02:30:00,바르셀로나,2,0,비야레알
14,2018-12-03,00:15:00,지로나,1,1,AT마드리드
14,2018-12-02,20:00:00,베티스,1,0,레알소시에다드
14,2018-12-02,04:45:00,레알마드리드,2,0,발렌시아
14,2018-12-02,02:30:00,헤타페,3,0,에스파뇰
14,2018-12-02,00:15:00,바야돌리드,2,4,레가네스
14,2018-12-01,21:00:00,셀타비고,2,0,우에스카
14,2018-12-01,05:00:00,라요 바예카노,1,0,에이바르
13,2018-11-27,05:00:00,레알소시에다드,2,1,셀타비고
13,2018-11-26,04:45:00,비야레알,2,1,베티스
13,2018-11-26,02:30:00,에스파뇰,1,3,지로나
13,2018-11-26,00:15:00,세비야,1,0,바야돌리드
13,2018-11-25,20:00:00,아틀레틱 빌바오,1,1,헤타페
13,2018-11-25,04:45:00,AT마드리드,1,1,바르셀로나
13,2018-11-25,02:30:00,우에스카,2,2,레반테
13,2018-11-25,00:15:00,발렌시아,3,0,라요 바예카노
13,2018-11-24,21:00:00,에이바르,3,0,레알마드리드
13,2018-11-24,05:00:00,레가네스,1,0,알라베스
12,2018-11-12,04:45:00,셀타비고,2,4,레알마드리드
12,2018-11-12,02:30:00,라요 바예카노,2,2,비야레알
12,2018-11-12,02:30:00,세비야,2,1,에스파뇰
12,2018-11-12,00:15:00,바르셀로나,3,4,베티스
12,2018-11-11,20:00:00,알라베스,2,1,우에스카
12,2018-11-11,04:45:00,지로나,0,0,레가네스
12,2018-11-11,02:30:00,AT마드리드,3,2,아틀레틱 빌바오
12,2018-11-11,00:15:00,헤타페,0,1,발렌시아
12,2018-11-10,21:00:00,바야돌리드,0,0,에이바르
12,2018-11-10,05:00:00,레반테,1,3,레알소시에다드
11,2018-11-06,05:00:00,에스파뇰,1,0,아틀레틱 빌바오
11,2018-11-05,04:45:00,베티스,3,3,셀타비고
11,2018-11-05,02:30:00,레알소시에다드,0,0,세비야
11,2018-11-05,02:30:00,우에스카,1,1,헤타페
11,2018-11-05,00:15:00,비야레알,1,1,레반테
11,2018-11-04,20:00:00,에이바르,2,1,알라베스
11,2018-11-04,04:45:00,라요 바예카노,2,3,바르셀로나
11,2018-11-04,02:30:00,발렌시아,0,1,지로나
11,2018-11-04,00:15:00,레알마드리드,2,0,바야돌리드
11,2018-11-03,21:00:00,레가네스,1,1,AT마드리드
10,2018-10-29,04:45:00,세비야,2,1,우에스카
10,2018-10-29,02:30:00,알라베스,2,1,비야레알
10,2018-10-29,00:15:00,바르셀로나,5,1,레알마드리드
10,2018-10-28,20:00:00,헤타페,2,0,베티스
10,2018-10-28,03:45:00,AT마드리드,2,0,레알소시에다드
10,2018-10-28,01:30:00,레반테,2,0,레가네스
10,2018-10-28,01:30:00,셀타비고,4,0,에이바르
10,2018-10-27,23:15:00,아틀레틱 빌바오,0,0,발렌시아
10,2018-10-27,20:00:00,지로나,2,1,라요 바예카노
10,2018-10-27,04:00:00,바야돌리드,1,1,에스파뇰
3,2018-10-25,02:00:00,라요 바예카노,1,1,아틀레틱 빌바오
9,2018-10-23,04:00:00,레알소시에다드,0,0,지로나
9,2018-10-22,03:45:00,베티스,0,1,바야돌리드
9,2018-10-22,01:30:00,우에스카,0,2,에스파뇰
9,2018-10-21,23:15:00,에이바르,1,1,아틀레틱 빌바오
9,2018-10-21,19:00:00,라요 바예카노,1,2,헤타페
9,2018-10-21,03:45:00,바르셀로나,4,2,세비야
9,2018-10-21,01:30:00,비야레알,1,1,AT마드리드
9,2018-10-20,23:15:00,발렌시아,1,1,레가네스
9,2018-10-20,20:00:00,레알마드리드,1,2,레반테
9,2018-10-20,04:00:00,셀타비고,0,1,알라베스
8,2018-10-08,03:45:00,발렌시아,1,1,바르셀로나
8,2018-10-08,01:30:00,세비야,2,1,셀타비고
