Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team
14,2018-12-03,01:15:00,리버풀,1,0,에버튼
14,2018-12-02,23:05:00,아스날,4,2,토튼햄
14,2018-12-02,21:00:00,첼시,2,0,풀햄
14,2018-12-02,02:30:00,사우샘프턴,2,2,맨체스터 유나이티드
14,2018-12-02,00:00:00,뉴캐슬 Utd,0,3,웨스트햄
14,2018-12-02,00:00:00,레스터,2,0,왓포드
14,2018-12-02,00:00:00,맨체스터 시티,3,1,본머스
14,2018-12-02,00:00:00,크리스탈팰리스,2,0,번리
14,2018-12-02,00:00:00,허더스필드,1,2,브라이튼
14,2018-12-01,05:00:00,카디프,2,1,울버햄튼
13,2018-11-27,05:30:00,번리,1,2,뉴캐슬 Utd
13,2018-11-26,01:00:00,울버햄튼,0,2,허더스필드
13,2018-11-25,22:30:00,본머스,1,2,아스날
13,2018-11-25,02:30:00,토튼햄,3,1,첼시
13,2018-11-25,00:00:00,맨체스터 유나이티드,0,0,크리스탈팰리스
13,2018-11-25,00:00:00,브라이튼,1,1,레스터
13,2018-11-25,00:00:00,에버튼,1,0,카디프
13,2018-11-25,00:00:00,왓포드,0,3,리버풀
13,2018-11-25,00:00:00,웨스트햄,0,4,맨체스터 시티
13,2018-11-25,00:00:00,풀햄,3,2,사우샘프턴
12,2018-11-12,01:30:00,맨체스터 시티,3,1,맨체스터 유나이티드
12,2018-11-12,01:30:00,아스날,1,1,울버햄튼
12,2018-11-11,23:15:00,첼시,0,0,에버튼
12,2018-11-11,21:00:00,리버풀,2,0,풀햄
12,2018-11-11,02:30:00,크리스탈팰리스,0,1,토튼햄
12,2018-11-11,00:00:00,뉴캐슬 Utd,2,1,본머스
12,2018-11-11,00:00:00,레스터,0,0,번리
12,2018-11-11,00:00:00,사우샘프턴,1,1,왓포드
12,2018-11-11,00:00:00,허더스필드,1,1,웨스트햄
12,2018-11-10,21:30:00,카디프,2,1,브라이튼
11,2018-11-06,05:00:00,허더스필드,1,0,풀햄
11,2018-11-05,01:00:00,첼시,3,1,크리스탈팰리스
11,2018-11-05,00:00:00,맨체스터 시티,6,1,사우샘프턴
11,2018-11-04,04:45:00,울버햄튼,2,3,토튼햄
11,2018-11-04,02:30:00,아스날,1,1,리버풀
11,2018-11-04,00:00:00,뉴캐슬 Utd,1,0,왓포드
11,2018-11-04,00:00:00,에버튼,3,1,브라이튼
11,2018-11-04,00:00:00,웨스트햄,4,2,번리
11,2018-11-04,00:00:00,카디프,0,1,레스터
11,2018-11-03,21:30:00,본머스,1,2,맨체스터 유나이티드
10,2018-10-30,05:00:00,토튼햄,0,1,맨체스터 시티
10,2018-10-29,01:00:00,맨체스터 유나이티드,2,1,에버튼
10,2018-10-28,22:30:00,번리,0,4,첼시
10,2018-10-28,22:30:00,크리스탈팰리스,2,2,아스날
10,2018-10-28,01:30:00,레스터,1,1,웨스트햄
10,2018-10-27,23:00:00,리버풀,4,1,카디프
10,2018-10-27,23:00:00,브라이튼,1,0,울버햄튼
10,2018-10-27,23:00:00,사우샘프턴,0,0,뉴캐슬 Utd
10,2018-10-27,23:00:00,왓포드,3,0,허더스필드
10,2018-10-27,23:00:00,풀햄,0,3,본머스
9,2018-10-23,04:00:00,아스날,3,1,레스터
9,2018-10-22,00:00:00,에버튼,2,0,크리스탈팰리스
9,2018-10-21,01:30:00,허더스필드,0,1,리버풀
9,2018-10-20,23:00:00,뉴캐슬 Utd,0,1,브라이튼
9,2018-10-20,23:00:00,맨체스터 시티,5,0,번리
9,2018-10-20,23:00:00,본머스,0,0,사우샘프턴
9,2018-10-20,23:00:00,울버햄튼,0,2,왓포드
9,2018-10-20,23:00:00,웨스트햄,0,1,토튼햄
9,2018-10-20,23:00:00,카디프,4,2,풀햄
9,2018-10-20,20:30:00,첼시,2,2,맨체스터 유나이티드
8,2018-10-08,00:30:00,리버풀,0,0,맨체스터 시티
8,2018-10-07,22:15:00,사우샘프턴,0,3,첼시
8,2018-10-07,20:00:00,풀햄,1,5,아스날
8,2018-10-07,01:30:00,맨체스터 유나이티드,3,2,뉴캐슬 Utd
8,2018-10-06,23:00:00,레스터,1,2,에버튼
8,2018-10-06,23:00:00,번리,1,1,허더스필드
8,2018-10-06,23:00:00,왓포드,0,4,본머스
8,2018-10-06,23:00:00,크리스탈팰리스,0,1,울버햄튼
8,2018-10-06,23:00:00,토튼햄,1,0,카디프
8,2018-10-06,04:00:00,브라이튼,1,0,웨스트햄
7,2018-10-02,04:00:00,본머스,2,1,크리스탈팰리스
7,2018-10-01,00:00:00,카디프,1,2,번리
7,2018-09-30,01:30:00,첼시,1,1,리버풀
7,2018-09-29,23:00:00,뉴캐슬 Utd,0,2,레스터
7,2018-09-29,23:00:00,맨체스터 시티,2,0,브라이튼
7,2018-09-29,23:00:00,아스날,2,0,왓포드
7,2018-09-29,23:00:00,에버튼,3,0,풀햄
7,2018-09-29,23:00:00,울버햄튼,2,0,사우샘프턴
7,2018-09-29,23:00:00,허더스필드,0,2,토튼햄
7,2018-09-29,20:30:00,웨스트햄,3,1,맨체스터 유나이티드
6,2018-09-24,00:00:00,아스날,2,0,에버튼
6,2018-09-23,21:30:00,웨스트햄,0,0,첼시
6,2018-09-23,01:30:00,브라이튼,1,2,토튼햄
6,2018-09-22,23:00:00,레스터,3,1,허더스필드
6,2018-09-22,23:00:00,리버풀,3,0,사우샘프턴
6,2018-09-22,23:00:00,맨체스터 유나이티드,1,1,울버햄튼
6,2018-09-22,23:00:00,번리,4,0,본머스
6,2018-09-22,23:00:00,카디프,0,5,맨체스터 시티
6,2018-09-22,23:00:00,크리스탈팰리스,0,0,뉴캐슬 Utd
6,2018-09-22,20:30:00,풀햄,1,1,왓포드
5,2018-09-18,04:00:00,사우샘프턴,2,2,브라이튼
5,2018-09-17,00:00:00,에버튼,1,3,웨스트햄
5,2018-09-16,21:30:00,울버햄튼,1,0,번리
5,2018-09-16,01:30:00,왓포드,1,2,맨체스터 유나이티드
5,2018-09-15,23:00:00,뉴캐슬 Utd,1,2,아스날
5,2018-09-15,23:00:00,맨체스터 시티,3,0,풀햄
5,2018-09-15,23:00:00,본머스,4,2,레스터
5,2018-09-15,23:00:00,첼시,4,1,카디프
5,2018-09-15,23:00:00,허더스필드,0,1,크리스탈팰리스
5,2018-09-15,20:30:00,토튼햄,1,2,리버풀
4,2018-09-03,00:00:00,번리,0,2,맨체스터 유나이티드
4,2018-09-03,00:00:00,왓포드,2,1,토튼햄
4,2018-09-02,21:30:00,카디프,2,3,아스날
4,2018-09-02,01:30:00,맨체스터 시티,2,1,뉴캐슬 Utd
4,2018-09-01,23:00:00,브라이튼,2,2,풀햄
4,2018-09-01,23:00:00,에버튼,1,1,허더스필드
4,2018-09-01,23:00:00,웨스트햄,0,1,울버햄튼
4,2018-09-01,23:00:00,첼시,2,0,본머스
4,2018-09-01,23:00:00,크리스탈팰리스,0,2,사우샘프턴
4,2018-09-01,20:30:00,레스터,1,2,리버풀
3,2018-08-28,04:00:00,맨체스터 유나이티드,0,3,토튼햄
3,2018-08-27,00:00:00,뉴캐슬 Utd,1,2,첼시
3,2018-08-27,00:00:00,풀햄,4,2,번리
3,2018-08-26,21:30:00,왓포드,2,1,크리스탈팰리스
3,2018-08-26,01:30:00,리버풀,1,0,브라이튼
3,2018-08-25,23:00:00,본머스,2,2,에버튼
3,2018-08-25,23:00:00,사우샘프턴,1,2,레스터
3,2018-08-25,23:00:00,아스날,3,1,웨스트햄
3,2018-08-25,23:00:00,허더스필드,0,0,카디프
3,2018-08-25,20:30:00,울버햄튼,1,1,맨체스터 시티
2,2018-08-21,04:00:00,크리스탈팰리스,0,2,리버풀
2,2018-08-20,00:00:00,브라이튼,3,2,맨체스터 유나이티드
2,2018-08-19,21:30:00,맨체스터 시티,6,1,허더스필드
2,2018-08-19,21:30:00,번리,1,3,왓포드
2,2018-08-19,01:30:00,첼시,3,2,아스날
2,2018-08-18,23:00:00,레스터,2,0,울버햄튼
2,2018-08-18,23:00:00,에버튼,2,1,사우샘프턴
2,2018-08-18,23:00:00,웨스트햄,1,2,본머스
2,2018-08-18,23:00:00,토튼햄,3,1,풀햄
