Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team
13,2018-11-19,01:00:00,구이후엘로,1,0,AT마드리드 B
13,2018-11-19,01:00:00,폰페라디나,0,0,레오네사
13,2018-11-19,01:00:00,Salmantino,3,3,레알 마드리드 B
13,2018-11-19,00:15:00,코룩소 FC,0,0,라피도 데 보우자스
13,2018-11-18,20:00:00,부르고스,0,1,Unionistas
13,2018-11-18,20:00:00,산 세바스찬 레예스,2,1,폰테베드라
13,2018-11-18,20:00:00,셀타비고 B,0,0,바야돌리드 B
13,2018-11-18,20:00:00,우니온 아다르베,1,3,Internacional de Madrid
13,2018-11-18,20:00:00,후엔라블라다,2,0,나발칸네로
13,2018-11-18,19:30:00,데포르티보 B,1,1,라스팔마스 B
12,2018-11-12,01:00:00,레오네사,1,1,후엔라블라다
12,2018-11-12,01:00:00,폰테베드라,2,2,데포르티보 B
12,2018-11-12,00:45:00,코룩소 FC,2,1,우니온 아다르베
12,2018-11-12,00:30:00,나발칸네로,3,1,셀타비고 B
12,2018-11-12,00:30:00,라피도 데 보우자스,1,1,산 세바스찬 레예스
12,2018-11-11,21:00:00,라스팔마스 B,3,1,구이후엘로
12,2018-11-11,20:00:00,AT마드리드 B,2,1,Salmantino
12,2018-11-11,20:00:00,Unionistas,1,0,폰페라디나
12,2018-11-11,19:30:00,바야돌리드 B,2,1,Internacional de Madrid
12,2018-11-11,03:30:00,레알 마드리드 B,1,0,부르고스
11,2018-11-05,01:00:00,구이후엘로,3,0,폰테베드라
11,2018-11-05,01:00:00,데포르티보 B,2,1,라피도 데 보우자스
11,2018-11-05,01:00:00,후엔라블라다,1,1,Unionistas
11,2018-11-04,20:00:00,부르고스,1,1,AT마드리드 B
11,2018-11-04,20:00:00,산 세바스찬 레예스,1,1,코룩소 FC
11,2018-11-04,20:00:00,셀타비고 B,3,3,레오네사
11,2018-11-04,20:00:00,우니온 아다르베,2,1,바야돌리드 B
11,2018-11-04,20:00:00,Internacional de Madrid,1,1,나발칸네로
11,2018-11-04,20:00:00,Salmantino,2,0,라스팔마스 B
11,2018-11-04,03:00:00,폰페라디나,3,2,레알 마드리드 B
10,2018-10-29,02:30:00,폰테베드라,2,0,Salmantino
10,2018-10-29,01:30:00,라피도 데 보우자스,2,1,구이후엘로
10,2018-10-28,21:00:00,라스팔마스 B,0,0,부르고스
10,2018-10-28,20:00:00,나발칸네로,3,2,바야돌리드 B
10,2018-10-28,20:00:00,산 세바스찬 레예스,2,2,우니온 아다르베
10,2018-10-28,20:00:00,코룩소 FC,1,0,데포르티보 B
10,2018-10-28,20:00:00,AT마드리드 B,1,1,폰페라디나
10,2018-10-28,03:00:00,레알 마드리드 B,0,1,후엔라블라다
10,2018-10-28,01:00:00,레오네사,3,1,Internacional de Madrid
10,2018-10-28,00:30:00,Unionistas,1,1,셀타비고 B
9,2018-10-22,01:00:00,구이후엘로,0,0,코룩소 FC
9,2018-10-22,00:00:00,데포르티보 B,0,1,산 세바스찬 레예스
9,2018-10-22,00:00:00,부르고스,0,1,폰테베드라
9,2018-10-22,00:00:00,Salmantino,0,1,라피도 데 보우자스
9,2018-10-21,19:00:00,셀타비고 B,1,1,레알 마드리드 B
9,2018-10-21,19:00:00,우니온 아다르베,3,2,나발칸네로
9,2018-10-21,19:00:00,후엔라블라다,2,0,AT마드리드 B
9,2018-10-21,19:00:00,Internacional de Madrid,0,0,Unionistas
9,2018-10-21,18:00:00,폰페라디나,0,0,라스팔마스 B
