Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team
12,2018-11-12,04:30:00,AC 밀란,0,2,유벤투스
12,2018-11-12,02:00:00,사수올로,1,1,라치오
12,2018-11-11,23:00:00,엠폴리,2,1,우디네세
12,2018-11-11,23:00:00,키에보,2,2,볼로냐
12,2018-11-11,23:00:00,AS 로마,4,1,삼프도리아
12,2018-11-11,20:30:00,아탈란타,4,1,인터밀란
12,2018-11-11,04:30:00,제노아,1,2,나폴리
12,2018-11-11,02:00:00,스팔,2,2,칼리아리
12,2018-11-10,23:00:00,토리노,1,2,파르마
12,2018-11-10,04:30:00,프로시노네,1,1,피오렌티나
11,2018-11-05,04:30:00,우디네세,0,1,AC 밀란
11,2018-11-05,02:00:00,볼로냐,1,2,아탈란타
11,2018-11-04,23:00:00,삼프도리아,1,4,토리노
11,2018-11-04,23:00:00,키에보,0,2,사수올로
11,2018-11-04,23:00:00,파르마,0,0,프로시노네
11,2018-11-04,20:30:00,라치오,4,1,스팔
11,2018-11-04,04:30:00,유벤투스,3,1,칼리아리
11,2018-11-04,02:00:00,피오렌티나,1,1,AS 로마
11,2018-11-03,23:00:00,인터밀란,5,0,제노아
11,2018-11-03,04:30:00,나폴리,5,1,엠폴리
1,2018-11-01,04:30:00,AC 밀란,2,1,제노아
10,2018-10-30,04:30:00,라치오,0,3,인터밀란
10,2018-10-29,04:30:00,나폴리,1,1,AS 로마
10,2018-10-29,02:00:00,AC 밀란,3,2,삼프도리아
10,2018-10-28,23:00:00,스팔,0,3,프로시노네
10,2018-10-28,23:00:00,제노아,2,2,우디네세
10,2018-10-28,23:00:00,칼리아리,2,1,키에보
10,2018-10-28,20:30:00,사수올로,2,2,볼로냐
10,2018-10-28,03:30:00,토리노,1,1,피오렌티나
10,2018-10-28,01:00:00,엠폴리,1,2,유벤투스
10,2018-10-27,22:00:00,아탈란타,3,0,파르마
9,2018-10-23,03:30:00,삼프도리아,0,0,사수올로
9,2018-10-22,03:30:00,인터밀란,1,0,AC 밀란
9,2018-10-22,01:00:00,피오렌티나,1,1,칼리아리
9,2018-10-21,22:00:00,볼로냐,2,2,토리노
9,2018-10-21,22:00:00,키에보,1,5,아탈란타
9,2018-10-21,22:00:00,파르마,0,2,라치오
9,2018-10-21,19:30:00,프로시노네,3,3,엠폴리
9,2018-10-21,03:30:00,우디네세,0,3,나폴리
9,2018-10-21,01:00:00,유벤투스,1,1,제노아
9,2018-10-20,22:00:00,AS 로마,0,2,스팔
8,2018-10-08,03:30:00,스팔,1,2,인터밀란
8,2018-10-08,01:00:00,나폴리,2,0,사수올로
8,2018-10-07,22:00:00,라치오,1,0,피오렌티나
8,2018-10-07,22:00:00,아탈란타,0,1,삼프도리아
8,2018-10-07,22:00:00,AC 밀란,3,1,키에보
8,2018-10-07,19:30:00,제노아,1,3,파르마
8,2018-10-07,03:30:00,엠폴리,0,2,AS 로마
8,2018-10-07,01:00:00,우디네세,0,2,유벤투스
8,2018-10-06,22:00:00,칼리아리,2,0,볼로냐
8,2018-10-06,03:30:00,토리노,3,2,프로시노네
7,2018-10-02,03:30:00,삼프도리아,2,1,스팔
7,2018-10-01,03:30:00,사수올로,1,4,AC 밀란
7,2018-10-01,01:00:00,파르마,1,0,엠폴리
7,2018-09-30,22:00:00,키에보,0,1,토리노
7,2018-09-30,22:00:00,프로시노네,1,2,제노아
7,2018-09-30,22:00:00,피오렌티나,2,0,아탈란타
7,2018-09-30,19:30:00,볼로냐,2,1,우디네세
7,2018-09-30,03:30:00,인터밀란,2,0,칼리아리
7,2018-09-30,01:00:00,유벤투스,3,1,나폴리
7,2018-09-29,22:00:00,AS 로마,3,1,라치오
6,2018-09-28,04:00:00,엠폴리,1,1,AC 밀란
6,2018-09-28,02:00:00,스팔,0,2,사수올로
6,2018-09-27,04:00:00,나폴리,3,0,파르마
6,2018-09-27,04:00:00,아탈란타,0,0,토리노
6,2018-09-27,04:00:00,유벤투스,2,0,볼로냐
6,2018-09-27,04:00:00,제노아,2,0,키에보
6,2018-09-27,04:00:00,칼리아리,0,0,삼프도리아
6,2018-09-27,04:00:00,AS 로마,4,0,프로시노네
6,2018-09-27,02:00:00,우디네세,1,2,라치오
6,2018-09-26,04:00:00,인터밀란,2,1,피오렌티나
5,2018-09-24,03:30:00,프로시노네,0,2,유벤투스
5,2018-09-24,01:00:00,AC 밀란,2,2,아탈란타
