Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team
16,2018-11-21,04:45:00,로스토프트,2,0,로이스턴
16,2018-11-21,04:45:00,반버리,1,0,AFC Rushden & Diamonds
16,2018-11-21,04:45:00,브레드워스,1,4,탬워스
16,2018-11-21,04:45:00,세인트 니오츠,0,3,Needham Market
16,2018-11-21,04:45:00,케터링,4,2,스타워브리지
16,2018-11-21,04:45:00,헤일소웬,0,2,바르웰
15,2018-11-18,00:00:00,레디치,4,2,로스토프트
15,2018-11-18,00:00:00,레스턴,0,1,러샬
15,2018-11-18,00:00:00,로이스턴,0,1,케터링
15,2018-11-18,00:00:00,바르웰,1,3,킹스린
15,2018-11-18,00:00:00,세인트 아이브스,2,0,헤일소웬
15,2018-11-18,00:00:00,스타워브리지,3,0,히친
15,2018-11-18,00:00:00,알베처치,3,2,세인트 니오츠
15,2018-11-18,00:00:00,콜빌 타운,1,1,반버리
15,2018-11-18,00:00:00,탬워스,1,1,비글스웨이드 타운
15,2018-11-18,00:00:00,AFC Rushden & Diamonds,3,1,브레드워스
15,2018-11-18,00:00:00,Needham Market,2,1,스트라트포드
9,2018-11-14,04:45:00,레디치,0,4,스타워브리지
11,2018-11-14,04:45:00,AFC Rushden & Diamonds,2,1,히친
16,2018-11-11,00:00:00,러샬,1,2,알베처치
14,2018-11-11,00:00:00,브레드워스,0,2,레디치
16,2018-11-11,00:00:00,킹스린,2,0,세인트 아이브스
12,2018-11-07,04:45:00,세인트 니오츠,0,0,탬워스
13,2018-11-04,00:00:00,레디치,2,0,반버리
13,2018-11-04,00:00:00,레스턴,3,0,비글스웨이드 타운
13,2018-11-04,00:00:00,로이스턴,0,0,헤일소웬
13,2018-11-04,00:00:00,바르웰,1,1,브레드워스
13,2018-11-04,00:00:00,세인트 아이브스,0,2,스트라트포드
13,2018-11-04,00:00:00,스타워브리지,3,1,로스토프트
13,2018-11-04,00:00:00,알베처치,0,3,킹스린
13,2018-11-04,00:00:00,콜빌 타운,1,1,세인트 니오츠
13,2018-11-04,00:00:00,탬워스,2,0,히친
13,2018-11-04,00:00:00,AFC Rushden & Diamonds,0,2,러샬
13,2018-11-04,00:00:00,Needham Market,0,3,케터링
9,2018-10-24,03:45:00,로스토프트,1,2,세인트 니오츠
9,2018-10-24,03:45:00,세인트 아이브스,0,2,레스턴
4,2018-10-24,03:45:00,AFC Rushden & Diamonds,3,1,콜빌 타운
12,2018-10-20,23:00:00,러샬,4,1,세인트 아이브스
12,2018-10-20,23:00:00,로스토프트,0,0,바르웰
12,2018-10-20,23:00:00,반버리,0,1,로이스턴
12,2018-10-20,23:00:00,브레드워스,0,2,알베처치
16,2018-10-20,23:00:00,비글스웨이드 타운,3,0,콜빌 타운
12,2018-10-20,23:00:00,스트라트포드,3,2,레스턴
12,2018-10-20,23:00:00,킹스린,1,1,AFC Rushden & Diamonds
12,2018-10-20,23:00:00,헤일소웬,1,1,Needham Market
11,2018-10-17,03:45:00,레디치,2,1,러샬
11,2018-10-17,03:45:00,레스턴,1,5,킹스린
11,2018-10-17,03:45:00,로이스턴,5,0,세인트 니오츠
11,2018-10-17,03:45:00,바르웰,2,1,반버리
11,2018-10-17,03:45:00,세인트 아이브스,0,1,비글스웨이드 타운
11,2018-10-17,03:45:00,탬워스,0,0,케터링
11,2018-10-17,03:45:00,Needham Market,1,0,로스토프트
11,2018-10-16,03:45:00,스타워브리지,4,1,브레드워스
10,2018-10-13,23:00:00,러샬,3,1,로스토프트
10,2018-10-13,23:00:00,레스턴,4,0,헤일소웬
10,2018-10-13,23:00:00,브레드워스,2,2,히친
10,2018-10-13,23:00:00,비글스웨이드 타운,0,0,반버리
10,2018-10-13,23:00:00,세인트 니오츠,0,3,케터링
10,2018-10-13,23:00:00,스타워브리지,2,1,로이스턴
10,2018-10-13,23:00:00,알베처치,2,1,세인트 아이브스
10,2018-10-13,23:00:00,콜빌 타운,1,2,Needham Market
10,2018-10-13,23:00:00,킹스린,0,0,스트라트포드
10,2018-10-13,23:00:00,탬워스,1,3,레디치
10,2018-10-13,23:00:00,AFC Rushden & Diamonds,1,1,바르웰
9,2018-10-06,23:00:00,로이스턴,2,0,브레드워스
9,2018-10-06,23:00:00,바르웰,1,2,알베처치
9,2018-10-06,23:00:00,반버리,0,0,탬워스
9,2018-10-06,23:00:00,헤일소웬,2,0,러샬
9,2018-10-06,23:00:00,Needham Market,1,5,AFC Rushden & Diamonds
8,2018-09-29,23:00:00,러샬,2,2,스트라트포드
8,2018-09-29,23:00:00,레스턴,0,1,바르웰
8,2018-09-29,23:00:00,브레드워스,0,1,헤일소웬
8,2018-09-29,23:00:00,비글스웨이드 타운,2,0,레디치
8,2018-09-29,23:00:00,세인트 니오츠,0,0,히친
8,2018-09-29,23:00:00,스타워브리지,3,1,Needham Market
8,2018-09-29,23:00:00,알베처치,1,3,케터링
8,2018-09-29,23:00:00,콜빌 타운,1,0,로스토프트
8,2018-09-29,23:00:00,킹스린,3,1,반버리
8,2018-09-29,23:00:00,탬워스,1,2,로이스턴
8,2018-09-29,23:00:00,AFC Rushden & Diamonds,0,0,세인트 아이브스
16,2018-09-22,23:00:00,스트라트포드,2,0,레디치
4,2018-09-19,03:45:00,브레드워스,1,3,반버리
4,2018-09-19,03:45:00,알베처치,0,0,스타워브리지
7,2018-09-15,23:00:00,레디치,1,5,콜빌 타운
7,2018-09-15,23:00:00,로스토프트,1,3,탬워스
7,2018-09-15,23:00:00,로이스턴,2,1,AFC Rushden & Diamonds
7,2018-09-15,23:00:00,바르웰,0,0,비글스웨이드 타운
7,2018-09-15,23:00:00,반버리,1,3,세인트 니오츠
7,2018-09-15,23:00:00,세인트 아이브스,0,0,스타워브리지
7,2018-09-15,23:00:00,스트라트포드,3,1,브레드워스
7,2018-09-15,23:00:00,케터링,1,2,레스턴
7,2018-09-15,23:00:00,헤일소웬,2,2,킹스린
7,2018-09-15,23:00:00,히친,1,1,알베처치
7,2018-09-15,23:00:00,Needham Market,1,1,러샬
6,2018-09-01,23:00:00,러샬,2,2,비글스웨이드 타운
6,2018-09-01,23:00:00,레스턴,4,3,레디치
6,2018-09-01,23:00:00,바르웰,1,2,로이스턴
6,2018-09-01,23:00:00,브레드워스,1,1,로스토프트
6,2018-09-01,23:00:00,세인트 아이브스,0,1,콜빌 타운
6,2018-09-01,23:00:00,스트라트포드,1,3,케터링
6,2018-09-01,23:00:00,알베처치,3,0,Needham Market
6,2018-09-01,23:00:00,킹스린,0,1,스타워브리지
6,2018-09-01,23:00:00,헤일소웬,1,1,세인트 니오츠
6,2018-09-01,23:00:00,히친,0,1,반버리
6,2018-09-01,03:45:00,AFC Rushden & Diamonds,2,2,탬워스
5,2018-08-29,03:45:00,스타워브리지,1,1,헤일소웬
5,2018-08-27,23:00:00,로스토프트,1,0,킹스린
5,2018-08-27,23:00:00,로이스턴,1,2,세인트 아이브스
5,2018-08-27,23:00:00,반버리,1,1,스트라트포드
5,2018-08-27,23:00:00,비글스웨이드 타운,1,1,히친
5,2018-08-27,23:00:00,세인트 니오츠,0,1,AFC Rushden & Diamonds
22,2018-08-27,23:00:00,알베처치,3,0,레디치
5,2018-08-27,23:00:00,케터링,5,1,브레드워스
5,2018-08-27,23:00:00,콜빌 타운,1,0,바르웰
